Predictor variable,Categorical,Sample average
pol_alt,false,86.53333333333333
pol_bio1,false,263.93333333333334
pol_bio10,false,277.3333333333333
pol_bio11,false,246.0
pol_bio12,false,3444.8
pol_bio13,false,562.8
pol_bio14,false,155.2
pol_bio15,false,48.333333333333336
pol_bio16,false,1540.1333333333334
pol_bio17,false,481.8666666666667
pol_bio18,false,627.2
pol_bio19,false,1027.6666666666667
pol_bio2,false,76.33333333333333
pol_bio3,false,67.06666666666666
pol_bio4,false,1228.8
pol_bio5,false,324.06666666666666
pol_bio6,false,211.06666666666666
pol_bio7,false,113.0
pol_bio8,false,257.46666666666664
pol_bio9,false,261.4
