X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
121.936607,14.870469,train,0.0028117546400221126,91.54032212128219,0.6634042447031397
121.956557,14.885803,train,0.001724766442358553,41.78728416679667,0.5473042962257727
121.935539,14.889295,train,0.002097711468035834,54.85218074205453,0.595208612513195
121.852114,14.966191,train,0.0021036143317632646,55.06288135453316,0.5958854597937584
121.966736,14.827955,train,0.0010988599091320958,25.787173369332816,0.43510962727106445
121.936494,14.851212,train,0.0028161674918552025,91.8214834315687,0.6637543324160287
121.940026,14.672186,train,0.0028759631134129488,94.39045444990359,0.6684273453049808
121.882368,14.950075,train,8.102183730732742E-4,20.586907591713224,0.36221614231094723
121.924699,14.961314,train,0.003643340547456153,100.0,0.7186134271873963
121.900607,14.935961,train,0.002621153670933605,84.80441271220747,0.6475546670509478
121.901034,14.917807,train,0.002148675794208264,57.403802940119085,0.6009787448166279
121.984304,14.708083,train,0.0014897795358192233,35.987574309269796,0.5108286276890504
122.000715,14.920109,train,6.933030181166891E-4,16.953117859169236,0.3270418538609739
121.958946,14.750953,train,0.0026003206443118696,83.23612224443266,0.6457313210819747
121.967576,14.764963,train,0.002582514564555923,82.45747131603986,0.644157879525465
